original_output_file,folder,location,date,audiofile,template,starttime,ampcutoff,species,min.score,max.score,n.scores,speciespresent
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F1,025,-21,T,-3.09,5.03,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F2,000,-21,T,-3.25,2.32,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F2,087,-21,T,-3.06,2.21,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F3,000,-21,T,-2.85,2.65,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F4,000,-21,T,-3.52,4.28,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F4,030,-21,T,-2.98,3.25,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F5,065,-21,T,-3.67,3.21,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F8,025,-21,T,-3.09,3.72,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F8,036,-21,T,-2.94,2.59,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F6,015,-21,H,-0.56,6.93,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F7,017,-21,H,-0.81,4.93,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_061500.wav,F9,102,-21,T,-2.67,3.76,18439,Howler
C:/Users/Silvy/Documents/R/Repos/PrimatesAndSoundscapes/output-21.txt,AutomatedDetection_TestingTemplates,"4,200",15 feb 2013,HARPIA_20130215_063000.wav,F1,025,-21,T,-2.83,0.98,18439,None
