Analyst,audiofile,Date,RecordingLocation,plot,location,PrimateSpecies,CallDistance,MicUsed,Rain
Silvy van Kuijk,HARPIA_20130212_054500.wav,2/12/2013,"Harpia/8, 600",Harpia,"8, 600",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130212_060000.wav,2/12/2013,"Harpia/8, 600",Harpia,"8, 600",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130212_061500.wav,2/12/2013,"Harpia/8, 600",Harpia,"8, 600",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130212_063000.wav,2/12/2013,"Harpia/8, 600",Harpia,"8, 600",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130212_064500.wav,2/12/2013,"Harpia/8, 600",Harpia,"8, 600",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130212_070000.wav,2/12/2013,"Harpia/8, 600",Harpia,"8, 600",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130212_071500.wav,2/12/2013,"Harpia/8, 600",Harpia,"8, 600",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130212_073000.wav,2/12/2013,"Harpia/8, 600",Harpia,"8, 600",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130212_074500.wav,2/12/2013,"Harpia/8, 600",Harpia,"8, 600",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130212_080000.wav,2/12/2013,"Harpia/8, 600",Harpia,"8, 600",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130213_060000.wav,2/13/2013,"Harpia/5, 800",Harpia,"5, 800",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130213_061500.wav,2/13/2013,"Harpia/5, 800",Harpia,"5, 800",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130213_054500.wav,2/13/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130213_063000.wav,2/13/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130213_064500.wav,2/13/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130213_070000.wav,2/13/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130213_071500.wav,2/13/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130213_073000.wav,2/13/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130213_074500.wav,2/13/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130213_080000.wav,2/13/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130214_054500.wav,2/14/2013,"Harpia/5, 800",Harpia,"5, 800",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130214_060000.wav,2/14/2013,"Harpia/5, 800",Harpia,"5, 800",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130214_061500.wav,2/14/2013,"Harpia/5, 800",Harpia,"5, 800",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130214_064500.wav,2/14/2013,"Harpia/5, 800",Harpia,"5, 800",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130214_070000.wav,2/14/2013,"Harpia/5, 800",Harpia,"5, 800",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130214_073000.wav,2/14/2013,"Harpia/5, 800",Harpia,"5, 800",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130214_063000.wav,2/14/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130214_071500.wav,2/14/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130214_074500.wav,2/14/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130214_080000.wav,2/14/2013,"Harpia/5, 800",Harpia,"5, 800",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130215_064500.wav,2/15/2013,"Harpia/4, 200",Harpia,"4, 200",Howler,3,1,Dry
Silvy van Kuijk,HARPIA_20130215_080000.wav,2/15/2013,"Harpia/4, 200",Harpia,"4, 200",Howler,3,1,Rain
Silvy van Kuijk,HARPIA_20130215_054500.wav,2/15/2013,"Harpia/4, 200",Harpia,"4, 200",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130215_060000.wav,2/15/2013,"Harpia/4, 200",Harpia,"4, 200",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130215_061500.wav,2/15/2013,"Harpia/4, 200",Harpia,"4, 200",Howler,4,1,Dry
Silvy van Kuijk,HARPIA_20130215_063000.wav,2/15/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130215_070000.wav,2/15/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130215_071500.wav,2/15/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130215_073000.wav,2/15/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130215_074500.wav,2/15/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130216_060000.wav,2/16/2013,"Harpia/4, 200",Harpia,"4, 200",Titi,3,1,Drizzle
Silvy van Kuijk,HARPIA_20130216_054500.wav,2/16/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130216_061500.wav,2/16/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130216_063000.wav,2/16/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130216_064500.wav,2/16/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130216_070000.wav,2/16/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130216_071500.wav,2/16/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130216_073000.wav,2/16/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130216_074500.wav,2/16/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130216_080000.wav,2/16/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130217_054500.wav,2/17/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130217_060000.wav,2/17/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130217_061500.wav,2/17/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130217_063000.wav,2/17/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130217_064500.wav,2/17/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130217_070000.wav,2/17/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130217_071500.wav,2/17/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130217_073000.wav,2/17/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130217_074500.wav,2/17/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130217_080000.wav,2/17/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130218_054500.wav,2/18/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130218_060000.wav,2/18/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130218_061500.wav,2/18/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130218_063000.wav,2/18/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Rain
Silvy van Kuijk,HARPIA_20130218_064500.wav,2/18/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130218_070000.wav,2/18/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130218_071500.wav,2/18/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130218_073000.wav,2/18/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130218_074500.wav,2/18/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130218_080000.wav,2/18/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130219_060000.wav,2/19/2013,"Harpia/4, 200",Harpia,"4, 200",Titi,3,1,Drizzle
Silvy van Kuijk,HARPIA_20130219_054500.wav,2/19/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Dry
Silvy van Kuijk,HARPIA_20130219_061500.wav,2/19/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130219_063000.wav,2/19/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130219_064500.wav,2/19/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
Silvy van Kuijk,HARPIA_20130219_070000.wav,2/19/2013,"Harpia/4, 200",Harpia,"4, 200",None,NA,1,Drizzle
