audiofile,detection,avg_titi_max_score,avg_howler_max_score,location,automated_detection,manual_detections
HARPIA_20130223_054500.wav,none,2.7920000000000003,-1.915,"1, -50",0,0
HARPIA_20130223_060000.wav,none,2.052,3.135,"1, -50",0,0
HARPIA_20130223_061500.wav,none,0.5559999999999999,4.735,"1, -50",0,0
HARPIA_20130223_063000.wav,none,0.8870000000000001,2.255,"1, -50",0,0
HARPIA_20130223_064500.wav,none,1.63,2.6,"1, -50",0,0
HARPIA_20130223_070000.wav,none,1.156,0.28500000000000003,"1, -50",0,0
HARPIA_20130223_071500.wav,none,1.3279999999999998,0.515,"1, -50",0,0
HARPIA_20130223_073000.wav,none,1.101,0.035,"1, -50",0,0
HARPIA_20130223_074500.wav,none,1.15,0.24999999999999997,"1, -50",0,0
HARPIA_20130223_080000.wav,none,1.287,0.41,"1, -50",0,0
HARPIA_20130224_054500.wav,none,1.1529999999999998,-0.05499999999999999,"1, -50",0,0
HARPIA_20130224_060000.wav,none,1.035,-0.21999999999999997,"1, -50",0,0
HARPIA_20130224_061500.wav,none,1.0799999999999998,-0.21,"1, -50",0,0
HARPIA_20130224_063000.wav,none,1.026,-0.115,"1, -50",0,0
HARPIA_20130224_064500.wav,none,1.118,-0.045,"1, -50",0,0
HARPIA_20130224_070000.wav,none,1.016,0.61,"1, -50",0,0
HARPIA_20130224_071500.wav,none,1.0450000000000002,0.245,"1, -50",0,0
HARPIA_20130224_073000.wav,none,1.048,1.0950000000000002,"1, -50",0,0
HARPIA_20130224_074500.wav,none,0.903,1.61,"1, -50",0,0
HARPIA_20130224_080000.wav,none,2.236,0.935,"1, -50",0,0
HARPIA_20130225_054500.wav,none,1.353,3.04,"1, -50",0,0
HARPIA_20130225_060000.wav,none,1.539,7.199999999999999,"1, -50",0,0
HARPIA_20130225_061500.wav,none,-0.22200000000000003,6.5649999999999995,"1, -50",0,0
HARPIA_20130225_063000.wav,none,1.0039999999999998,1.355,"1, -50",0,0
HARPIA_20130225_064500.wav,none,1.261,2.52,"1, -50",0,0
HARPIA_20130225_070000.wav,none,2.5460000000000003,2.52,"1, -50",0,0
HARPIA_20130225_071500.wav,none,0.961,3.045,"1, -50",0,0
HARPIA_20130225_073000.wav,none,2.618,3.19,"1, -50",0,0
HARPIA_20130225_074500.wav,none,1.544,3.225,"1, -50",0,0
HARPIA_20130225_080000.wav,none,3.528,3.04,"1, -50",0,0
HARPIA_20130226_054500.wav,none,1.4289999999999998,0.875,"1, -50",0,0
HARPIA_20130226_060000.wav,none,0.873,2.29,"1, -50",0,0
HARPIA_20130226_061500.wav,none,0.899,1.89,"1, -50",0,0
HARPIA_20130226_063000.wav,none,1.646,2.165,"1, -50",0,0
HARPIA_20130226_064500.wav,none,1.966,1.675,"1, -50",0,0
HARPIA_20130226_070000.wav,none,1.5699999999999998,1.225,"1, -50",0,0
HARPIA_20130226_071500.wav,none,1.204,2.3600000000000003,"1, -50",0,0
HARPIA_20130226_073000.wav,none,1.015,-0.155,"1, -50",0,0
HARPIA_20130226_074500.wav,none,1.027,-0.2,"1, -50",0,0
HARPIA_20130226_080000.wav,none,1.1889999999999998,0.625,"1, -50",0,0
HARPIA_20130227_054500.wav,none,1.284,0.27,"1, -50",0,0
HARPIA_20130227_060000.wav,none,2.1789999999999994,1.335,"1, -50",0,0
HARPIA_20130227_061500.wav,none,0.405,2.405,"1, -50",0,0
HARPIA_20130227_063000.wav,none,1.5779999999999998,2.1399999999999997,"1, -50",0,0
HARPIA_20130227_064500.wav,none,1.057,2.05,"1, -50",0,0
HARPIA_20130227_070000.wav,none,0.849,0.28500000000000003,"1, -50",0,0
HARPIA_20130227_071500.wav,none,0.8220000000000001,0.115,"1, -50",0,0
HARPIA_20130227_073000.wav,none,1.954,0.085,"1, -50",0,0
HARPIA_20130227_074500.wav,none,0.8879999999999999,0.49,"1, -50",0,0
HARPIA_20130227_080000.wav,none,1.168,0.87,"1, -50",0,0
HARPIA_20130215_054500.wav,none,0.075,4.295,"4, 200",0,0
HARPIA_20130215_060000.wav,none,1.0470000000000002,6.24,"4, 200",0,0
HARPIA_20130215_061500.wav,none,2.647,5.885,"4, 200",0,0
HARPIA_20130215_063000.wav,none,0.8,3.91,"4, 200",0,0
HARPIA_20130215_064500.wav,none,0.611,5.135,"4, 200",0,0
HARPIA_20130215_070000.wav,none,1.125,4.075,"4, 200",0,0
HARPIA_20130215_071500.wav,none,1.095,0.22,"4, 200",0,0
HARPIA_20130215_073000.wav,none,1.057,2.41,"4, 200",0,0
HARPIA_20130215_074500.wav,none,1.246,0.7250000000000001,"4, 200",0,0
HARPIA_20130215_080000.wav,none,1.813,3.4350000000000005,"4, 200",0,0
HARPIA_20130216_054500.wav,none,0.8220000000000001,0.935,"4, 200",0,0
HARPIA_20130216_060000.wav,titi -- no howler,5.6240000000000006,2.1950000000000003,"4, 200",1,1
HARPIA_20130216_061500.wav,none,0.5820000000000001,1.77,"4, 200",0,0
HARPIA_20130216_063000.wav,none,0.687,2.405,"4, 200",0,0
HARPIA_20130216_064500.wav,none,1.35,1.44,"4, 200",0,0
HARPIA_20130216_070000.wav,none,1.0770000000000002,0.02499999999999999,"4, 200",0,0
HARPIA_20130216_071500.wav,none,1.08,0.005,"4, 200",0,0
HARPIA_20130216_073000.wav,none,1.07,-0.03,"4, 200",0,0
HARPIA_20130216_074500.wav,none,0.988,0.295,"4, 200",0,0
HARPIA_20130216_080000.wav,none,1.022,0.065,"4, 200",0,0
HARPIA_20130217_054500.wav,none,0.6619999999999999,1.885,"4, 200",0,0
HARPIA_20130217_060000.wav,none,0.532,2.33,"4, 200",0,0
HARPIA_20130217_061500.wav,none,0.5450000000000002,2.7300000000000004,"4, 200",0,0
HARPIA_20130217_063000.wav,none,0.724,2.785,"4, 200",0,0
HARPIA_20130217_064500.wav,none,0.678,2.71,"4, 200",0,0
HARPIA_20130217_070000.wav,none,2.9139999999999997,3.09,"4, 200",0,0
HARPIA_20130217_071500.wav,none,1.1309999999999998,1.945,"4, 200",0,0
HARPIA_20130217_073000.wav,none,0.8099999999999999,1.605,"4, 200",0,0
HARPIA_20130217_074500.wav,none,0.8809999999999999,1.805,"4, 200",0,0
HARPIA_20130217_080000.wav,none,1.883,2.595,"4, 200",0,0
HARPIA_20130218_054500.wav,none,1.0550000000000002,0,"4, 200",0,0
HARPIA_20130218_060000.wav,none,0.978,0.165,"4, 200",0,0
HARPIA_20130218_061500.wav,none,0.9680000000000002,0.31,"4, 200",0,0
HARPIA_20130218_063000.wav,none,0.9560000000000002,0.38,"4, 200",0,0
HARPIA_20130218_064500.wav,none,1.831,-0.04499999999999998,"4, 200",0,0
HARPIA_20130218_070000.wav,none,2.567,0.29,"4, 200",0,0
HARPIA_20130218_071500.wav,none,1.234,0.37,"4, 200",0,0
HARPIA_20130218_073000.wav,none,1.567,0.47,"4, 200",0,0
HARPIA_20130218_074500.wav,none,1.592,0.81,"4, 200",0,0
HARPIA_20130218_080000.wav,none,1.022,1.225,"4, 200",0,0
HARPIA_20130219_054500.wav,none,1.4779999999999998,1.5499999999999998,"4, 200",0,0
