original_output_file,detection,avg_titi_max_score,avg_howler_max_score,confusion_matrix_number
HARPIA_20130223_054500.wav,none,2.7920000000000003,-1.915,0
HARPIA_20130223_060000.wav,none,2.052,3.135,0
HARPIA_20130223_061500.wav,none,0.5559999999999999,4.735,0
HARPIA_20130223_063000.wav,none,0.8870000000000001,2.255,0
HARPIA_20130223_064500.wav,none,1.6300000000000001,2.6,0
HARPIA_20130223_070000.wav,none,1.1560000000000001,0.28500000000000003,0
HARPIA_20130223_071500.wav,none,1.3279999999999998,0.515,0
HARPIA_20130223_073000.wav,none,1.101,0.035,0
HARPIA_20130223_074500.wav,none,1.15,0.24999999999999997,0
HARPIA_20130223_080000.wav,none,1.287,0.41,0
HARPIA_20130224_054500.wav,none,1.1529999999999998,-0.05499999999999999,0
HARPIA_20130224_060000.wav,none,1.035,-0.21999999999999997,0
HARPIA_20130224_061500.wav,none,1.0799999999999998,-0.21,0
HARPIA_20130224_063000.wav,none,1.026,-0.115,0
HARPIA_20130224_064500.wav,none,1.1179999999999999,-0.045,0
HARPIA_20130224_070000.wav,none,1.016,0.61,0
HARPIA_20130224_071500.wav,none,1.0450000000000002,0.245,0
HARPIA_20130224_073000.wav,none,1.048,1.0950000000000002,0
HARPIA_20130224_074500.wav,none,0.9029999999999999,1.6099999999999999,0
HARPIA_20130224_080000.wav,none,2.2359999999999998,0.935,0
HARPIA_20130225_054500.wav,none,1.353,3.04,0
HARPIA_20130225_060000.wav,none,1.539,7.199999999999999,0
HARPIA_20130225_061500.wav,none,-0.22200000000000003,6.5649999999999995,0
HARPIA_20130225_063000.wav,none,1.0039999999999998,1.355,0
HARPIA_20130225_064500.wav,none,1.2610000000000001,2.52,0
HARPIA_20130225_070000.wav,none,2.5460000000000003,2.52,0
HARPIA_20130225_071500.wav,none,0.9610000000000001,3.045,0
HARPIA_20130225_073000.wav,none,2.618,3.19,0
HARPIA_20130225_074500.wav,none,1.544,3.225,0
HARPIA_20130225_080000.wav,none,3.528,3.04,0
HARPIA_20130226_054500.wav,none,1.4289999999999998,0.875,0
HARPIA_20130226_060000.wav,none,0.873,2.29,0
HARPIA_20130226_061500.wav,none,0.899,1.89,0
HARPIA_20130226_063000.wav,none,1.6460000000000001,2.165,0
HARPIA_20130226_064500.wav,none,1.966,1.675,0
HARPIA_20130226_070000.wav,none,1.5699999999999998,1.225,0
HARPIA_20130226_071500.wav,none,1.204,2.3600000000000003,0
HARPIA_20130226_073000.wav,none,1.0150000000000001,-0.155,0
HARPIA_20130226_074500.wav,none,1.0270000000000001,-0.19999999999999998,0
HARPIA_20130226_080000.wav,none,1.1889999999999998,0.625,0
HARPIA_20130227_054500.wav,none,1.284,0.27,0
HARPIA_20130227_060000.wav,none,2.1789999999999994,1.335,0
HARPIA_20130227_061500.wav,none,0.40499999999999997,2.4050000000000002,0
HARPIA_20130227_063000.wav,none,1.5779999999999998,2.1399999999999997,0
HARPIA_20130227_064500.wav,none,1.057,2.05,0
HARPIA_20130227_070000.wav,none,0.849,0.28500000000000003,0
HARPIA_20130227_071500.wav,none,0.8220000000000001,0.115,0
